date,event_type,source_note
2007-01-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2007-01-11,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2007-01-31,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2007-02-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2007-02-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2007-03-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2007-03-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2007-03-21,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2007-04-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2007-04-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2007-05-04,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2007-05-09,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2007-05-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2007-06-01,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2007-06-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2007-06-28,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2007-07-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2007-07-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2007-08-02,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2007-08-03,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2007-08-07,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2007-09-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2007-09-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2007-09-18,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2007-10-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2007-10-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2007-10-31,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2007-11-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2007-11-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2007-12-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2007-12-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2007-12-11,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2008-01-04,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2008-01-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2008-01-30,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2008-02-01,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2008-02-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2008-03-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2008-03-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2008-03-18,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2008-04-04,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2008-04-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2008-04-30,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2008-05-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2008-05-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
